Date,V,MA
2010-01-04,19.52838897705078,23.502702713012695
2010-01-05,19.304611206054688,23.433155059814453
2010-01-06,19.04538917541504,23.399274826049805
2010-01-07,19.222637176513672,23.246368408203125
2010-01-08,19.275808334350586,23.254608154296875
2010-01-11,19.22041893005371,22.87189292907715
2010-01-12,19.12957191467285,22.859073638916016
2010-01-13,19.30683708190918,23.45330238342285
2010-01-14,19.373292922973633,23.849760055541992
2010-01-15,19.085275650024414,24.04844093322754
2010-01-19,19.464136123657227,24.2407169342041
2010-01-20,19.36886978149414,24.11619758605957
2010-01-21,18.71082878112793,23.669382095336914
2010-01-22,18.329742431640625,23.055927276611328
2010-01-25,18.174640655517578,23.114524841308594
2010-01-26,17.979673385620117,22.762935638427734
2010-01-27,18.5911808013916,23.46977996826172
2010-01-28,18.312026977539062,22.839834213256836
2010-01-29,18.174640655517578,22.881046295166016
2010-02-01,18.535802841186523,23.203344345092773
2010-02-02,18.61334228515625,23.124591827392578
2010-02-03,18.504783630371094,22.668617248535156
2010-02-04,18.400653839111328,20.336566925048828
2010-02-05,18.292081832885742,20.21112632751465
2010-02-08,18.400653839111328,20.729358673095703
2010-02-09,18.449386596679688,20.45925521850586
2010-02-10,18.559226989746094,20.775148391723633
2010-02-11,18.892072677612305,20.967424392700195
2010-02-12,18.81218719482422,20.64512062072754
2010-02-16,19.05626678466797,20.628644943237305
2010-02-17,19.17609214782715,20.585613250732422
2010-02-18,19.295921325683594,20.32649803161621
2010-02-19,19.26262855529785,20.384180068969727
2010-02-22,19.28481674194336,20.53158950805664
2010-02-23,19.109521865844727,20.32832908630371
2010-02-24,19.00078773498535,20.303607940673828
2010-02-25,18.912038803100586,20.279802322387695
2010-02-26,18.923133850097656,20.54349136352539
2010-03-01,19.264846801757812,21.309860229492188
2010-03-02,19.18274688720703,21.224700927734375
2010-03-03,19.26041030883789,21.255844116210938
2010-03-04,19.31366539001465,21.33366584777832
2010-03-05,19.63985824584961,21.93247413635254
2010-03-08,20.11026382446289,22.488250732421875
2010-03-09,20.003759384155273,22.567901611328125
2010-03-10,20.3077449798584,22.85357666015625
2010-03-11,20.578454971313477,22.9075927734375
2010-03-12,20.691627502441406,22.887447357177734
2010-03-15,20.5052433013916,22.89752197265625
2010-03-16,20.336605072021484,22.82977294921875
2010-03-17,20.305532455444336,22.766584396362305
2010-03-18,19.999319076538086,22.551416397094727
2010-03-19,19.713075637817383,22.373790740966797
2010-03-22,19.801834106445312,22.62283706665039
2010-03-23,19.966032028198242,22.486408233642578
2010-03-24,19.69310760498047,22.40308952331543
2010-03-25,20.061443328857422,22.532188415527344
2010-03-26,20.02594757080078,22.545927047729492
2010-03-29,20.02372932434082,22.707992553710938
2010-03-30,20.192365646362305,23.11086082458496
2010-03-31,20.199024200439453,23.256446838378906
2010-04-01,20.53631019592285,23.250947952270508
2010-04-05,20.518550872802734,23.401105880737305
2010-04-06,20.50301170349121,23.69135856628418
2010-04-07,20.12801742553711,23.422012329101562
2010-04-08,20.30109405517578,23.53377914428711
2010-04-09,20.529644012451172,23.717010498046875
2010-04-12,20.678312301635742,23.78021812438965
2010-04-13,20.589557647705078,23.68219757080078
2010-04-14,20.915746688842773,24.106369018554688
2010-04-15,20.957897186279297,24.060564041137695
2010-04-16,20.824764251708984,23.77381134033203
2010-04-19,20.66278839111328,23.57225799560547
2010-04-20,20.8691463470459,23.94696044921875
2010-04-21,20.665002822875977,23.873666763305664
2010-04-22,21.111007690429688,23.966190338134766
2010-04-23,21.432758331298828,24.481063842773438
2010-04-26,21.301843643188477,24.349136352539062
2010-04-27,20.62505531311035,23.34779930114746
2010-04-28,20.77151107788086,23.178319931030273
2010-04-29,20.596214294433594,23.396360397338867
2010-04-30,20.021507263183594,22.723918914794922
2010-05-03,19.808488845825195,22.971271514892578
2010-05-04,19.608787536621094,23.017995834350586
2010-05-05,19.178314208984375,21.798603057861328
2010-05-06,18.39946174621582,21.098682403564453
2010-05-07,18.259666442871094,20.438146591186523
2010-05-10,19.080671310424805,21.099594116210938
2010-05-11,18.674610137939453,20.451879501342773
2010-05-12,19.040172576904297,21.31122398376465
2010-05-13,19.051280975341797,21.2828311920166
2010-05-14,17.16904067993164,19.46337127685547
2010-05-17,16.602365493774414,19.313121795654297
2010-05-18,15.575691223144531,18.580217361450195
2010-05-19,16.215700149536133,18.5472354888916
2010-05-20,16.18236541748047,18.826656341552734
2010-05-21,16.489032745361328,19.59163475036621
2010-05-24,16.56681251525879,19.224262237548828
2010-05-25,16.215700149536133,18.952167510986328
2010-05-26,16.311254501342773,18.780847549438477
2010-05-27,16.37569808959961,19.037368774414062
2010-05-28,16.10236930847168,18.484935760498047
2010-06-01,15.886807441711426,18.358503341674805
2010-06-02,15.833479881286621,18.416223526000977
2010-06-03,16.186811447143555,18.50601577758789
2010-06-04,16.02902603149414,18.017709732055664
2010-06-07,15.975700378417969,18.32919692993164
2010-06-08,16.30014419555664,18.097410202026367
2010-06-09,16.400150299072266,17.9068546295166
2010-06-10,17.21126937866211,18.791845321655273
2010-06-11,16.90682601928711,18.769861221313477
2010-06-14,16.39569854736328,18.704816818237305
2010-06-15,17.095701217651367,19.19953155517578
2010-06-16,17.149045944213867,19.295724868774414
2010-06-17,17.386812210083008,19.60537338256836
2010-06-18,17.120153427124023,19.629196166992188
2010-06-21,17.977937698364258,20.461044311523438
2010-06-22,17.502384185791016,20.24117088317871
2010-06-23,17.280147552490234,20.141315460205078
2010-06-24,16.995702743530273,19.686908721923828
2010-06-25,17.03571319580078,20.0075626373291
2010-06-28,16.715715408325195,19.3781681060791
2010-06-29,15.87791919708252,18.596696853637695
2010-06-30,15.722358703613281,18.27971839904785
2010-07-01,16.191261291503906,18.584110260009766
2010-07-02,16.262361526489258,18.590530395507812
2010-07-06,16.06014060974121,18.339324951171875
2010-07-07,16.626808166503906,19.03060531616211
2010-07-08,16.68459129333496,19.223142623901367
2010-07-09,17.195709228515625,19.759479522705078
2010-07-12,17.002370834350586,19.589868545532227
2010-07-13,17.02014923095703,19.677886962890625
2010-07-14,16.951263427734375,19.544029235839844
2010-07-15,16.72903823852539,19.419334411621094
2010-07-16,15.87791919708252,18.08169174194336
2010-07-19,15.826801300048828,17.954246520996094
2010-07-20,16.355703353881836,18.822490692138672
2010-07-21,16.08015251159668,18.474090576171875
2010-07-22,16.546810150146484,19.106708526611328
2010-07-23,16.79792594909668,19.52294158935547
2010-07-26,16.90682601928711,19.512863159179688
2010-07-27,17.024599075317383,19.641218185424805
2010-07-28,16.706815719604492,19.261642456054688
2010-07-29,15.995691299438477,19.103952407836914
2010-07-30,16.30014419555664,19.257061004638672
2010-08-02,16.051254272460938,18.567604064941406
2010-08-03,16.222366333007812,18.419994354248047
2010-08-04,16.100143432617188,18.822490692138672
2010-08-05,15.889031410217285,18.48601531982422
2010-08-06,16.031253814697266,19.016847610473633
2010-08-09,16.60903549194336,19.701719284057617
2010-08-10,16.7268123626709,19.835582733154297
2010-08-11,16.362882614135742,19.222219467163086
2010-08-12,16.244905471801758,19.421171188354492
2010-08-13,16.075733184814453,19.312070846557617
2010-08-16,16.21150779724121,19.293733596801758
2010-08-17,16.329483032226562,19.622879028320312
2010-08-18,16.222639083862305,19.51560401916504
2010-08-19,15.944398880004883,19.151630401611328
2010-08-20,15.603825569152832,18.920591354370117
2010-08-23,15.608283996582031,18.812406539916992
2010-08-24,15.728484153747559,18.56668472290039
2010-08-25,15.7730073928833,18.896751403808594
2010-08-26,15.561532974243164,18.627199172973633
2010-08-27,15.828653335571289,18.94350814819336
2010-08-30,15.47917652130127,18.584110260009766
2010-08-31,15.354522705078125,18.18621063232422
2010-09-01,15.699541091918945,18.435585021972656
2010-09-02,16.022302627563477,18.77022933959961
2010-09-03,16.138057708740234,18.976511001586914
2010-09-07,15.915464401245117,18.38424301147461
2010-09-08,15.258806228637695,17.823148727416992
2010-09-09,14.86482048034668,17.601272583007812
2010-09-10,15.156417846679688,18.16604232788086
2010-09-13,14.575445175170898,17.697534561157227
2010-09-14,14.940497398376465,18.313642501831055
2010-09-15,15.343393325805664,19.269899368286133
2010-09-16,15.22097396850586,19.27998924255371
2010-09-17,15.245450019836426,19.589868545532227
2010-09-20,15.6505708694458,20.051952362060547
2010-09-21,15.568215370178223,19.894254684448242
2010-09-22,15.719575881958008,20.0812931060791
2010-09-23,15.799704551696777,20.117963790893555
2010-09-24,16.109119415283203,20.314163208007812
2010-09-27,16.249351501464844,20.38750457763672
2010-09-28,16.3094539642334,20.445274353027344
2010-09-29,16.563209533691406,20.411348342895508
2010-09-30,16.529817581176758,20.536951065063477
2010-10-01,16.32057762145996,20.60846519470215
2010-10-04,16.302778244018555,20.412267684936523
2010-10-05,16.692310333251953,20.711149215698242
2010-10-06,16.52313995361328,20.4727840423584
2010-10-07,16.385133743286133,20.262680053710938
2010-10-08,16.47195053100586,20.42140007019043
2010-10-11,16.536500930786133,20.446165084838867
2010-10-12,16.52760124206543,20.379192352294922
2010-10-13,17.126379013061523,21.18287467956543
2010-10-14,17.17757225036621,21.34527015686035
2010-10-15,17.273284912109375,21.440677642822266
2010-10-18,17.442461013793945,21.601226806640625
2010-10-19,17.26215171813965,21.748023986816406
2010-10-20,17.700666427612305,22.066375732421875
2010-10-21,17.629436492919922,22.31133270263672
2010-10-22,17.649465560913086,22.26087760925293
2010-10-25,17.94774627685547,22.491153717041016
2010-10-26,17.814184188842773,22.34160804748535
2010-10-27,17.78969955444336,22.547122955322266
2010-10-28,17.01729965209961,21.974634170532227
2010-10-29,17.39793586730957,22.02418327331543
2010-11-01,17.21095848083496,21.92601203918457
2010-11-02,17.455814361572266,22.567302703857422
2010-11-03,17.584911346435547,23.10400390625
2010-11-04,17.80528450012207,23.384750366210938
2010-11-05,17.762996673583984,23.513185501098633
2010-11-08,17.520360946655273,23.189327239990234
2010-11-09,17.433547973632812,23.075571060180664
2010-11-10,17.649465560913086,23.263647079467773
2010-11-11,17.63388442993164,23.126022338867188
2010-11-12,17.126379013061523,22.30950164794922
2010-11-15,16.997270584106445,22.287473678588867
2010-11-16,16.692310333251953,21.38197135925293
2010-11-17,16.890819549560547,21.520503997802734
